Province|City|District or County|Street name
云南省|临沧市|临翔区|团结路
北京市|北京市|朝阳区|外环路
北京市|北京市|朝阳区|通顺路
安徽省|合肥市|瑶海区|临泉路
安徽省|合肥市|瑶海区|胜利路
安徽省|芜湖市|镜湖区|文化路
安徽省|芜湖市|镜湖区|梅莲路
安徽省|蚌埠市|龙子湖区|国强路
安徽省|蚌埠市|龙子湖区|沿淮路
安徽省|淮南市|田家庵区|洞山路
安徽省|淮南市|田家庵区|淮舜南路
安徽省|马鞍山市|花山区|红旗北路
安徽省|马鞍山市|花山区|车站路
安徽省|淮北市|相山区|古城路
安徽省|淮北市|相山区|孟山北路
安徽省|铜陵市|铜官区|谢垅路
安徽省|铜陵市|铜官区|何村路
安徽省|安庆市|迎江区|龙山路
安徽省|安庆市|迎江区|玉琳路
安徽省|黄山市|屯溪区|雀山路
安徽省|黄山市|屯溪区|北海路
安徽省|巢湖市|居巢区|安成路
安徽省|巢湖市|居巢区|东塘路
湖南省|长沙市|开福区|芙蓉中路
湖南省|长沙市|开福区|八一路
湖南省|株洲市|天元区|衡山西路
湖南省|株洲市|天元区|西环路
湖南省|湘潭市|雨湖区|建设北路
湖南省|湘潭市|雨湖区|韶山中路
湖南省|衡阳市|石鼓区|常胜路
湖南省|衡阳市|石鼓区|向农路
湖南省|邵阳市|大祥区|西湖路
湖南省|邵阳市|大祥区|敏州西路
湖南省|岳阳市|岳阳楼区|白石岭南路
湖南省|岳阳市|岳阳楼区|民兴路
湖南省|常德市|武陵区|建设路
湖南省|常德市|武陵区|人民路
湖南省|张家界市|永定区|子午路
湖南省|张家界市|永定区|迎宾路
湖北省|武汉市|武昌区|中南路
湖北省|武汉市|武昌区|洪山路
湖北省|黄石市|石港区|黄石大道
湖北省|黄石市|石港区|公园路
湖北省|襄樊市|襄阳区|神龙路
湖北省|襄樊市|襄阳区|新城路
湖北省|十堰市|张湾区|京东路
湖北省|十堰市|张湾区|浙江路
湖北省|荆州市|沙市区|共青路
湖北省|荆州市|沙市区|东环路
湖北省|宜昌市|伍家岗区|体育场路
湖北省|宜昌市|伍家岗区|东山大道
湖北省|孝感市|孝南区|长征路
湖北省|孝感市|孝南区|长征二路
湖北省|黄冈市|黄州区|七一路
湖北省|黄冈市|黄州区|胜利街
四川省|成都市|武侯区|共和路
四川省|成都市|武侯区|红瓦寺街
四川省|自贡市|大安区|龙井路
四川省|自贡市|大安区|仁和路
四川省|攀枝花市|东区|新宏路
四川省|攀枝花市|东区|机场路
四川省|泸州市|江阳区|江阳西路
四川省|泸州市|江阳区|二环路
四川省|德阳市|旌阳区|长江东路
四川省|德阳市|旌阳区|庐山北路
四川省|绵阳市|涪城区|绵兴东路
四川省|绵阳市|涪城区|火炬西街
四川省|广元市|利州区|育才路
四川省|广元市|利州区|利州东路
四川省|南充市|顺庆区|仪凤街
四川省|南充市|顺庆区|丝绸路
北京市|北京市|东城区|东四北大街
北京市|北京市|东城区|王府井大街
北京市|北京市|西城区|月坛北街
北京市|北京市|西城区|复兴门
北京市|北京市|海淀区|温泉路
北京市|北京市|海淀区|上庄路
北京市|北京市|丰台区|康辛路
北京市|北京市|丰台区|南五环路
北京市|北京市|石景山区|杨庄北区中街
北京市|北京市|石景山区|杨庄路
上海市|上海市|浦东新区|下盐路
上海市|上海市|浦东新区|人民东路
上海市|上海市|徐汇区|上中路
上海市|上海市|徐汇区|中环路
上海市|上海市|长宁区|天山西路
上海市|上海市|长宁区|宁虹路
上海市|上海市|闸北区|大宁路
上海市|上海市|闸北区|场中路
上海市|上海市|虹口区|广中路
上海市|上海市|虹口区|水电路
上海市|上海市|杨浦区|控江路
上海市|上海市|杨浦区|平凉路
上海市|上海市|卢湾区|建国东路
上海市|上海市|卢湾区|瑞金二路
上海市|上海市|静安区|南京西路
上海市|上海市|静安区|昌平路
上海市|上海市|宝山区|潘泾路
上海市|上海市|宝山区|宝杨路
上海市|上海市|嘉定区|惠平路
上海市|上海市|嘉定区|伊宁路
